symbol,name,price,change,change_percentage,market_value(100M),industry,date
3042,晶技,92.4,1.0,1.09,286.0,電子零組件業,2021/05/13
6278,台表科,97.7,0.4,0.41,286.0,光電業,2021/05/13
9933,中鼎,36.55,-0.25,-0.68,279.0,其他業,2021/05/13
8016,矽創,229.0,8.0,3.62,275.0,半導體業,2021/05/13
2849,安泰銀,13.9,-0.4,-2.8,272.0,銀行業,2021/05/13
2504,國產,23.05,-0.7,-2.95,272.0,建材營造業,2021/05/13
4968,立積,429.5,-3.0,-0.69,267.0,半導體業,2021/05/13
6732,昇佳電子,554.0,-40.0,-6.73,271.0,半導體業,2021/05/13
4142,國光生,62.9,5.7,9.97,257.0,生技醫療業,2021/05/13
8436,大江,227.0,1.5,0.67,268.0,生技醫療業,2021/05/13
9938,百和,89.9,2.3,2.63,268.0,其他業,2021/05/13
4128,中天,62.0,0.4,0.65,264.0,生技醫療業,2021/05/13
6412,群電,67.0,-1.5,-2.19,263.0,電子零組件業,2021/05/13
6670,復盛應用,199.0,13.0,6.99,261.0,其他業,2021/05/13
1785,光洋科,44.0,0.25,0.57,260.0,其他電子業,2021/05/13
2723,美食-KY,144.5,-2.5,-1.7,260.0,觀光事業,2021/05/13
5306,桂盟,204.5,6.5,3.28,258.0,其他業,2021/05/13
1232,大統益,159.0,-3.0,-1.85,254.0,食品工業,2021/05/13
6285,啟碁,63.8,1.6,2.57,254.0,通信網路業,2021/05/13
1507,永大,61.3,-1.2,-1.92,252.0,電機機械,2021/05/13
1503,士電,47.9,0.1,0.21,250.0,電機機械,2021/05/13
3227,原相,175.5,4.5,2.63,249.0,半導體業,2021/05/13
2548,華固,89.9,-0.1,-0.11,249.0,建材營造業,2021/05/13
2634,漢翔,26.35,-0.15,-0.57,248.0,航運業,2021/05/13
1723,中碳,104.5,-2.5,-2.34,248.0,化學工業,2021/05/13
1707,葡萄王,167.0,-0.5,-0.3,247.0,生技醫療業,2021/05/13
6274,台燿,92.4,3.3,3.7,248.0,電子零組件業,2021/05/13
1536,和大,88.0,-1.0,-1.12,246.0,汽車工業,2021/05/13
2103,台橡,29.7,-3.25,-9.86,245.0,橡膠工業,2021/05/13
4919,新唐,62.9,-0.6,-0.94,238.0,半導體業,2021/05/13
9958,世紀鋼,106.0,0.5,0.47,244.0,鋼鐵工業,2021/05/13
8086,宏捷科,121.5,8.5,7.52,243.0,半導體業,2021/05/13
1905,華紙,21.9,-2.4,-9.88,242.0,造紙工業,2021/05/13
2368,金像電,43.85,2.0,4.78,240.0,電子零組件業,2021/05/13
2456,奇力新,90.8,-0.2,-0.22,232.0,電子零組件業,2021/05/13
2231,為升,193.5,0.0,0.0,236.0,汽車工業,2021/05/13
2104,國際中橡,23.95,-1.45,-5.71,236.0,橡膠工業,2021/05/13
6182,合晶,46.1,0.9,1.99,236.0,半導體業,2021/05/13
3312,弘憶股,18.8,-0.3,-1.57,23.5,電子通路業,2021/05/13
8341,日友,209.5,-2.5,-1.18,234.0,其他業,2021/05/13
6146,耕興,251.0,-3.0,-1.18,232.0,其他電子業,2021/05/13
4915,致伸,51.3,0.8,1.58,232.0,電子零組件業,2021/05/13
6214,精誠,85.7,-0.4,-0.46,231.0,資訊服務業,2021/05/13
1736,喬山,75.5,-0.7,-0.92,229.0,生技醫療業,2021/05/13
4174,浩鼎,115.0,-1.5,-1.29,229.0,生技醫療業,2021/05/13
5534,長虹,78.2,0.1,0.13,227.0,建材營造業,2021/05/13
1312,國喬,25.0,-0.7,-2.72,227.0,塑膠工業,2021/05/13
5434,崇越,124.0,0.0,0.0,225.0,電子通路業,2021/05/13
2867,三商壽,9.0,-0.2,-2.17,225.0,保險業,2021/05/13
9940,信義,30.55,-0.85,-2.71,225.0,其他業,2021/05/13
2501,國建,19.3,-0.3,-1.53,224.0,建材營造業,2021/05/13
1513,中興電,47.0,1.25,2.73,197.0,電機機械,2021/05/13
2608,嘉里大榮,47.9,4.35,9.99,224.0,航運業,2021/05/13
6712,長聖,360.5,4.5,1.26,222.0,生技醫療業,2021/05/13
8926,台汽電,37.6,-0.2,-0.53,221.0,油電燃氣業,2021/05/13
3218,大學光,290.0,9.5,3.39,221.0,生技醫療業,2021/05/13
2388,威盛,44.2,-1.4,-3.07,219.0,半導體業,2021/05/13
2439,美律,103.5,3.5,3.5,217.0,通信網路業,2021/05/13
5371,中光電,55.2,0.8,1.47,216.0,光電業,2021/05/13
6548,長科*,59.2,-0.1,-0.17,216.0,半導體業,2021/05/13
6510,精測,650.0,18.0,2.85,213.0,半導體業,2021/05/13
5469,瀚宇博,40.3,-0.2,-0.49,213.0,電子零組件業,2021/05/13
2211,長榮鋼,50.7,-4.6,-8.32,213.0,鋼鐵工業,2021/05/13
6257,矽格,47.8,0.65,1.38,212.0,半導體業,2021/05/13
2820,華票,15.75,-0.05,-0.32,212.0,銀行業,2021/05/13
2206,三陽工業,26.2,0.0,0.0,210.0,汽車工業,2021/05/13
2373,震旦行,88.5,0.6,0.68,209.0,其他電子業,2021/05/13
1215,卜蜂,77.9,1.4,1.83,209.0,食品工業,2021/05/13
1789,神隆,26.4,0.2,0.76,209.0,生技醫療業,2021/05/13
3019,亞光,74.2,2.2,3.06,209.0,光電業,2021/05/13
3703,欣陸,25.3,-1.25,-4.71,208.0,建材營造業,2021/05/13
3081,聯亞,226.5,-7.5,-3.21,207.0,通信網路業,2021/05/13
3260,威剛,84.1,-2.4,-2.77,209.0,半導體業,2021/05/13
3017,奇鋐,58.3,0.7,1.22,206.0,電腦及週邊設備業,2021/05/13
6561,是方,291.0,2.5,0.87,205.0,通信網路業,2021/05/13
2009,第一銅,56.7,-4.1,-6.74,204.0,鋼鐵工業,2021/05/13
8070,長華*,31.8,0.7,2.25,203.0,電子通路業,2021/05/13
6446,藥華藥,76.7,1.5,1.99,202.0,生技醫療業,2021/05/13
2312,金寶,13.7,-0.35,-2.49,201.0,其他電子業,2021/05/13
2392,正崴,39.2,-0.05,-0.13,201.0,電子零組件業,2021/05/13
9907,統一實,12.7,-1.05,-7.64,201.0,其他業,2021/05/13
5530,龍巖,47.65,-0.85,-1.75,200.0,其他業,2021/05/13
9939,宏全,69.2,-0.6,-0.86,199.0,其他業,2021/05/13
3680,家登,236.5,5.5,2.38,199.0,半導體業,2021/05/13
3673,TPK-KY,48.7,-1.5,-2.99,198.0,光電業,2021/05/13
6202,盛群,85.9,0.9,1.06,194.0,半導體業,2021/05/13
2607,榮運,18.2,-1.4,-7.14,194.0,航運業,2021/05/13
1319,東陽,32.8,-0.6,-1.8,194.0,汽車工業,2021/05/13
1773,勝一,107.5,-2.0,-1.83,194.0,化學工業,2021/05/13
2428,興勤,151.0,-3.5,-2.27,193.0,電子零組件業,2021/05/13
2362,藍天,28.75,0.8,2.86,190.0,電腦及週邊設備業,2021/05/13
3376,新日興,100.0,-2.0,-1.96,192.0,電子零組件業,2021/05/13
2511,太子,11.8,-0.25,-2.07,192.0,建材營造業,2021/05/13
2328,廣宇,36.95,1.95,5.57,192.0,電子零組件業,2021/05/13
3596,智易,91.5,0.9,0.99,191.0,通信網路業,2021/05/13
3515,華擎,158.0,3.0,1.94,191.0,電腦及週邊設備業,2021/05/13
3026,禾伸堂,120.5,-1.0,-0.82,190.0,電子零組件業,2021/05/13
